[18]: 0-1	IORB created: 18
[15014]: 0-10	IORB created: 14954
[15194]: 10-0	IORB created: 14579
[15299]: 0-1	IORB created: 15173
[15344]: 1-0	IORB created: 15344
[15632]: 0-17	IORB created: 15632
[15917]: 17-3	IORB created: 15865
[16022]: 3-13	IORB created: 15657
[16232]: 13-14	IORB created: 16118
[16382]: 14-16	IORB created: 15917
[16547]: 16-0	IORB created: 16022
[16697]: 0-2	IORB created: 16639
[16757]: 2-3	IORB created: 16382
[16817]: 3-4	IORB created: 16232
[16892]: 4-0	IORB created: 16757
[16952]: 0-4	IORB created: 16817
[17042]: 4-10	IORB created: 16892
[17192]: 10-16	IORB created: 17133
[17387]: 16-0	IORB created: 17042
[17537]: 0-16	IORB created: 17387
[17807]: 16-0	IORB created: 16619
[17957]: 0-1	IORB created: 17673
[18002]: 1-2	IORB created: 17851
[18062]: 2-3	IORB created: 17957
[18122]: 3-4	IORB created: 17718
[18197]: 4-8	IORB created: 17745
[18317]: 8-0	IORB created: 18197
[18407]: 0-2	IORB created: 18317
[18467]: 2-0	IORB created: 18122
[18512]: 0-5	IORB created: 18467
[18650]: 5-1	IORB created: 18650
[18695]: 1-0	IORB created: 18695
[18744]: 0-4	IORB created: 18744
[18834]: 4-0	IORB created: 18834
[19078]: 0-3	IORB created: 19078
[19153]: 3-0	IORB created: 19153
[19296]: 0-16	IORB created: 19296
[19566]: 16-16	IORB created: 19566
[19944]: 16-0	IORB created: 19944
[20094]: 0-4	IORB created: 20000
[20184]: 4-16	IORB created: 20147
[20424]: 16-0	IORB created: 20094
[20574]: 0-2	IORB created: 20226
[20634]: 2-17	IORB created: 20424
[20904]: 17-0	IORB created: 20831
[21054]: 0-3	IORB created: 20904
[21129]: 3-13	IORB created: 20862
[21339]: 13-16	IORB created: 21129
[21519]: 16-0	IORB created: 21054
[21669]: 0-2	IORB created: 21655
[21729]: 2-6	IORB created: 21339
[21834]: 6-0	IORB created: 21669
[21909]: 0-4	IORB created: 21834
[21999]: 4-0	IORB created: 20704
[22059]: 0-4	IORB created: 21729
[22149]: 4-5	IORB created: 21999
[22224]: 5-0	IORB created: 22149
[22284]: 0-1	IORB created: 22059
[22329]: 1-13	IORB created: 22306
[22554]: 13-17	IORB created: 22392
[22749]: 17-0	IORB created: 22329
[22899]: 0-1	IORB created: 22749
[22944]: 1-2	IORB created: 22728
[23004]: 2-4	IORB created: 22871
[23079]: 4-6	IORB created: 22747
[23169]: 6-10	IORB created: 22554
[23304]: 10-14	IORB created: 23004
[23469]: 14-16	IORB created: 22944
[23634]: 16-0	IORB created: 20634
[23784]: 0-1	IORB created: 23471
[23829]: 1-4	IORB created: 23662
[23919]: 4-6	IORB created: 23079
[24009]: 6-10	IORB created: 23469
[24144]: 10-11	IORB created: 23912
[24264]: 11-5	IORB created: 24009
[24294]: 5-10	IORB created: 24264
[24444]: 10-11	IORB created: 24342
[24564]: 11-10	IORB created: 24458
[24669]: 10-10	IORB created: 24564
[24774]: 10-14	IORB created: 24730
[24939]: 14-5	IORB created: 24669
[24999]: 5-8	IORB created: 24851
[25119]: 8-10	IORB created: 24939
[25239]: 10-13	IORB created: 24855
[25389]: 13-15	IORB created: 25266
[25554]: 15-5	IORB created: 25119
[25614]: 5-7	IORB created: 25522
[25719]: 7-11	IORB created: 25554
[25869]: 11-12	IORB created: 25516
[26004]: 12-5	IORB created: 25719
[26049]: 5-11	IORB created: 26004
[26214]: 11-13	IORB created: 26154
[26364]: 13-14	IORB created: 26067
[26514]: 14-5	IORB created: 26006
[26574]: 5-10	IORB created: 26514
[26724]: 10-11	IORB created: 26293
[26844]: 11-14	IORB created: 26448
[27009]: 14-5	IORB created: 26574
[27069]: 5-10	IORB created: 27009
[27219]: 10-11	IORB created: 26781
[27339]: 11-14	IORB created: 27015
[27504]: 14-15	IORB created: 27366
[27654]: 15-7	IORB created: 27573
[27684]: 7-10	IORB created: 27504
[27819]: 10-11	IORB created: 27654
[27939]: 11-14	IORB created: 27648
[28104]: 14-15	IORB created: 27336
[28254]: 15-10	IORB created: 27339
[28329]: 10-11	IORB created: 28254
[28449]: 11-14	IORB created: 27432
[28614]: 14-10	IORB created: 26844
[28689]: 10-11	IORB created: 28344
[28809]: 11-12	IORB created: 28705
[28944]: 12-13	IORB created: 28476
[29079]: 13-6	IORB created: 26156
[29109]: 6-10	IORB created: 28944
[29244]: 10-11	IORB created: 28104
[29364]: 11-13	IORB created: 29264
[29514]: 13-15	IORB created: 29079
[29679]: 15-10	IORB created: 29514
[29754]: 10-11	IORB created: 29679
[29874]: 11-15	IORB created: 29783
[30054]: 15-6	IORB created: 30000
[30099]: 6-10	IORB created: 30054
[30234]: 10-11	IORB created: 29954
[30354]: 11-10	IORB created: 28809
[30459]: 10-11	IORB created: 30354
[30579]: 11-12	IORB created: 30431
[30714]: 12-14	IORB created: 30517
[30864]: 14-7	IORB created: 26727
[30894]: 7-9	IORB created: 30394
[31014]: 9-10	IORB created: 30864
[31134]: 10-11	IORB created: 25389
[31254]: 11-14	IORB created: 30714
[31419]: 14-8	IORB created: 31013
[31464]: 8-10	IORB created: 31419
[31584]: 10-11	IORB created: 31339
[31704]: 11-8	IORB created: 31482
[31779]: 8-10	IORB created: 31587
[31899]: 10-11	IORB created: 31704
[32019]: 11-13	IORB created: 31779
[32169]: 13-10	IORB created: 32021
[32259]: 10-11	IORB created: 32169
[32379]: 11-10	IORB created: 32259
[32484]: 10-11	IORB created: 32379
[32604]: 11-10	IORB created: 32019
[32709]: 10-11	IORB created: 25239
[32829]: 11-10	IORB created: 28614
[32934]: 10-11	IORB created: 32829
[33054]: 11-10	IORB created: 27684
[33159]: 10-10	IORB created: 26364
[33264]: 10-5	IORB created: 33159
[33531]: 5-11	IORB created: 33531
[33696]: 11-12	IORB created: 33655
[33831]: 12-11	IORB created: 33696
[33936]: 11-12	IORB created: 33781
[34071]: 12-10	IORB created: 33831
[34161]: 10-11	IORB created: 34071
[34322]: 11-15	IORB created: 34322
[34502]: 15-14	IORB created: 34480
[34637]: 14-10	IORB created: 34502
[34712]: 10-10	IORB created: 34637
[35083]: 10-14	IORB created: 35083
[35248]: 14-11	IORB created: 35248
[35429]: 11-13	IORB created: 35429
[35579]: 13-11	IORB created: 35579
[36018]: 11-12	IORB created: 36018
[36153]: 12-10	IORB created: 36153
[36340]: 10-15	IORB created: 36340
[36520]: 15-10	IORB created: 36520
[36629]: 10-11	IORB created: 36629
[36749]: 11-10	IORB created: 36749
[36910]: 10-10	IORB created: 36910
[37015]: 10-10	IORB created: 37015
[37134]: 10-11	IORB created: 37134
[37254]: 11-11	IORB created: 37254
[37374]: 11-10	IORB created: 37374
[37618]: 10-9	IORB created: 37618
[37708]: 9-12	IORB created: 37708
[37858]: 12-14	IORB created: 37848
[38008]: 14-5	IORB created: 37858
[38068]: 5-10	IORB created: 38008
[38218]: 10-11	IORB created: 37771
[38338]: 11-12	IORB created: 38025
[38473]: 12-13	IORB created: 38006
[38608]: 13-8	IORB created: 38338
[38668]: 8-9	IORB created: 38450
[38773]: 9-10	IORB created: 38218
[38893]: 10-11	IORB created: 38608
[39013]: 11-12	IORB created: 38912
[39148]: 12-13	IORB created: 38652
[39283]: 13-14	IORB created: 38668
[39433]: 14-15	IORB created: 38925
[39583]: 15-5	IORB created: 39433
[39643]: 5-7	IORB created: 38773
[39748]: 7-10	IORB created: 39013
[39883]: 10-11	IORB created: 39283
[40003]: 11-12	IORB created: 38473
[40138]: 12-5	IORB created: 39748
[40183]: 5-10	IORB created: 40138
[40333]: 10-12	IORB created: 37916
[40468]: 12-6	IORB created: 40273
[40498]: 6-10	IORB created: 40113
[40633]: 10-12	IORB created: 40544
[40768]: 12-16	IORB created: 40468
[40948]: 16-5	IORB created: 40498
[41023]: 5-6	IORB created: 40000
[41113]: 6-7	IORB created: 40633
[41203]: 7-10	IORB created: 40003
[41338]: 10-13	IORB created: 40948
[41488]: 13-15	IORB created: 40768
[41653]: 15-16	IORB created: 41488
[41818]: 16-5	IORB created: 41203
[41893]: 5-6	IORB created: 41053
[41983]: 6-7	IORB created: 41908
[42073]: 7-10	IORB created: 41653
[42208]: 10-5	IORB created: 42073
[42238]: 5-10	IORB created: 39883
[42388]: 10-5	IORB created: 41983
[42423]: 5-14	IORB created: 42423
[42633]: 14-6	IORB created: 42431
[42678]: 6-10	IORB created: 42633
[42813]: 10-14	IORB created: 42736
[42978]: 14-5	IORB created: 42678
[43038]: 5-6	IORB created: 42772
[43128]: 6-10	IORB created: 42978
[43263]: 10-13	IORB created: 43018
[43413]: 13-5	IORB created: 43128
[43458]: 5-6	IORB created: 43149
[43548]: 6-10	IORB created: 43413
[43683]: 10-5	IORB created: 43548
[43723]: 5-14	IORB created: 43723
[43933]: 14-10	IORB created: 43933
[44315]: 10-12	IORB created: 44315
[44450]: 12-10	IORB created: 44450
[44540]: 10-17	IORB created: 44538
[44750]: 17-12	IORB created: 44634
[44840]: 12-14	IORB created: 44794
[44990]: 14-16	IORB created: 44750
[45155]: 16-6	IORB created: 45141
[45215]: 6-7	IORB created: 44840
[45305]: 7-11	IORB created: 45215
[45455]: 11-12	IORB created: 45339
[45590]: 12-13	IORB created: 45262
[45725]: 13-14	IORB created: 45389
[45875]: 14-6	IORB created: 45226
[45920]: 6-10	IORB created: 45305
[46055]: 10-11	IORB created: 45455
[46175]: 11-12	IORB created: 45590
[46310]: 12-14	IORB created: 45148
[46460]: 14-15	IORB created: 46235
[46610]: 15-17	IORB created: 45875
[46790]: 17-5	IORB created: 45920
[46865]: 5-10	IORB created: 46790
[47015]: 10-12	IORB created: 46563
[47150]: 12-14	IORB created: 46610
[47300]: 14-16	IORB created: 47015
[47465]: 16-7	IORB created: 46895
[47510]: 7-10	IORB created: 46310
[47645]: 10-11	IORB created: 47300
[47765]: 11-12	IORB created: 47648
[47900]: 12-15	IORB created: 47801
[48065]: 15-5	IORB created: 47510
[48125]: 5-10	IORB created: 47900
[48275]: 10-12	IORB created: 47150
[48410]: 12-15	IORB created: 48065
[48575]: 15-17	IORB created: 48122
[48755]: 17-6	IORB created: 47544
[48815]: 6-10	IORB created: 48410
[48950]: 10-12	IORB created: 48541
[49085]: 12-15	IORB created: 48815
[49250]: 15-17	IORB created: 48755
[49430]: 17-6	IORB created: 49085
[49490]: 6-7	IORB created: 49250
[49580]: 7-8	IORB created: 48321
[49685]: 8-10	IORB created: 48575
[49805]: 10-11	IORB created: 49580
[49925]: 11-12	IORB created: 49430
[50060]: 12-15	IORB created: 50000
[50225]: 15-16	IORB created: 50060
[50390]: 16-10	IORB created: 46175
[50450]: 10-12	IORB created: 46460
[50585]: 12-16	IORB created: 49490
[50765]: 16-11	IORB created: 50585
[50840]: 11-5	IORB created: 50765
[50939]: 5-13	IORB created: 50939
[51134]: 13-17	IORB created: 51103
[51329]: 17-20	IORB created: 51034
[51539]: 20-11	IORB created: 51159
[51584]: 11-13	IORB created: 51073
[51734]: 13-16	IORB created: 51539
[51914]: 16-10	IORB created: 51584
[51974]: 10-11	IORB created: 51134
[52094]: 11-15	IORB created: 51734
[52274]: 15-16	IORB created: 51329
[52439]: 16-18	IORB created: 52003
[52619]: 18-10	IORB created: 52274
[52664]: 10-16	IORB created: 52619
[52859]: 16-12	IORB created: 52678
[52949]: 12-11	IORB created: 52949
[53054]: 11-18	IORB created: 52992
[53279]: 18-16	IORB created: 53279
[53414]: 16-11	IORB created: 53361
[53489]: 11-11	IORB created: 53489
[53634]: 11-11	IORB created: 53634
[53754]: 11-12	IORB created: 53667
[53889]: 12-20	IORB created: 53859
[54129]: 20-11	IORB created: 53754
[54174]: 11-12	IORB created: 53889
[54309]: 12-13	IORB created: 54176
[54444]: 13-4	IORB created: 54129
[54504]: 4-10	IORB created: 54309
[54654]: 10-11	IORB created: 54504
[54774]: 11-18	IORB created: 54444
[54999]: 18-0	IORB created: 54774
[55164]: 0-11	IORB created: 54999
[55359]: 11-11	IORB created: 54314
[55479]: 11-5	IORB created: 55434
[55509]: 5-18	IORB created: 55479
[55779]: 18-0	IORB created: 55509
[55944]: 0-13	IORB created: 55785
[56169]: 13-14	IORB created: 55529
[56319]: 14-16	IORB created: 55779
[56484]: 16-0	IORB created: 56017
[56634]: 0-4	IORB created: 56319
[56724]: 4-10	IORB created: 56169
[56874]: 10-11	IORB created: 56724
[56994]: 11-13	IORB created: 56956
[57144]: 13-17	IORB created: 56970
[57339]: 17-0	IORB created: 56634
[57489]: 0-10	IORB created: 57339
[57669]: 10-14	IORB created: 57393
[57834]: 14-16	IORB created: 57798
[57999]: 16-20	IORB created: 57834
[58209]: 20-0	IORB created: 57692
[58389]: 0-2	IORB created: 57640
[58449]: 2-10	IORB created: 57144
[58614]: 10-14	IORB created: 58449
[58779]: 14-15	IORB created: 58389
[58929]: 15-16	IORB created: 57669
[59094]: 16-18	IORB created: 58209
[59274]: 18-20	IORB created: 57999
[59469]: 20-0	IORB created: 58779
[59649]: 0-10	IORB created: 58960
[59829]: 10-13	IORB created: 59469
[59979]: 13-14	IORB created: 57318
[60129]: 14-16	IORB created: 59979
[60294]: 16-17	IORB created: 59404
[60459]: 17-0	IORB created: 59652
[60609]: 0-11	IORB created: 60000
[60804]: 11-13	IORB created: 59387
[60954]: 13-14	IORB created: 60162
[61104]: 14-16	IORB created: 59274
[61269]: 16-17	IORB created: 60459
[61434]: 17-19	IORB created: 60558
[61629]: 19-0	IORB created: 60609
[61794]: 0-11	IORB created: 59845
[61989]: 11-15	IORB created: 61104
[62169]: 15-16	IORB created: 61629
[62334]: 16-2	IORB created: 59829
[62454]: 2-8	IORB created: 62208
[62589]: 8-10	IORB created: 58929
[62709]: 10-11	IORB created: 62454
[62829]: 11-12	IORB created: 61989
[62964]: 12-14	IORB created: 62173
[63114]: 14-16	IORB created: 61434
[63279]: 16-18	IORB created: 62545
[63459]: 18-5	IORB created: 62589
[63549]: 5-11	IORB created: 63114
[63714]: 11-15	IORB created: 63261
[63894]: 15-16	IORB created: 63459
[64059]: 16-9	IORB created: 63850
[64104]: 9-10	IORB created: 64069
[64224]: 10-11	IORB created: 63894
[64344]: 11-14	IORB created: 63948
[64509]: 14-15	IORB created: 63186
[64659]: 15-17	IORB created: 64224
[64839]: 17-18	IORB created: 64344
[65019]: 18-19	IORB created: 64170
[65199]: 19-5	IORB created: 64839
[65289]: 5-10	IORB created: 65019
[65439]: 10-11	IORB created: 62964
[65559]: 11-12	IORB created: 64659
[65694]: 12-14	IORB created: 65680
[65844]: 14-15	IORB created: 65468
[65994]: 15-18	IORB created: 64115
[66189]: 18-1	IORB created: 65960
[66339]: 1-5	IORB created: 64104
[66444]: 5-11	IORB created: 66406
[66609]: 11-14	IORB created: 66181
[66774]: 14-15	IORB created: 65199
[66924]: 15-17	IORB created: 66609
[67104]: 17-0	IORB created: 66339
[67254]: 0-6	IORB created: 66838
[67374]: 6-8	IORB created: 65290
[67479]: 8-10	IORB created: 65694
[67599]: 10-11	IORB created: 61026
[67719]: 11-16	IORB created: 67104
[67914]: 16-1	IORB created: 67585
[68049]: 1-5	IORB created: 67479
[68154]: 5-7	IORB created: 68054
[68259]: 7-8	IORB created: 68192
[68364]: 8-9	IORB created: 68282
[68469]: 9-16	IORB created: 66924
[68679]: 16-19	IORB created: 68260
[68874]: 19-0	IORB created: 68049
[69039]: 0-5	IORB created: 68469
[69144]: 5-16	IORB created: 68874
[69384]: 16-0	IORB created: 69358
[69534]: 0-5	IORB created: 68364
[69639]: 5-7	IORB created: 69197
[69744]: 7-16	IORB created: 68760
[69969]: 16-18	IORB created: 69553
[70149]: 18-20	IORB created: 69555
[70344]: 20-0	IORB created: 69571
[70524]: 0-5	IORB created: 69744
[70629]: 5-6	IORB created: 69691
[70719]: 6-8	IORB created: 70000
[70824]: 8-9	IORB created: 69938
[70929]: 9-16	IORB created: 69969
[71139]: 16-17	IORB created: 70221
[71304]: 17-19	IORB created: 70149
[71499]: 19-20	IORB created: 71301
[71694]: 20-0	IORB created: 69534
[71874]: 0-5	IORB created: 70929
[71979]: 5-9	IORB created: 71304
[72114]: 9-16	IORB created: 71694
[72324]: 16-20	IORB created: 70524
[72534]: 20-5	IORB created: 72114
[72639]: 5-6	IORB created: 72023
[72729]: 6-16	IORB created: 72392
[72954]: 16-0	IORB created: 72534
[73104]: 0-5	IORB created: 72729
[73209]: 5-8	IORB created: 72800
[73329]: 8-9	IORB created: 72954
[73434]: 9-16	IORB created: 71499
[73644]: 16-0	IORB created: 73341
[73794]: 0-5	IORB created: 73329
[73899]: 5-8	IORB created: 73437
[74019]: 8-16	IORB created: 73766
[74229]: 16-18	IORB created: 74019
[74409]: 18-0	IORB created: 73794
[74574]: 0-1	IORB created: 74229
[74619]: 1-5	IORB created: 74409
[74724]: 5-8	IORB created: 73990
[74844]: 8-16	IORB created: 74619
[75054]: 16-4	IORB created: 74852
[75144]: 4-5	IORB created: 74844
[75219]: 5-16	IORB created: 75218
[75459]: 16-0	IORB created: 75144
[75609]: 0-5	IORB created: 71881
[75714]: 5-10	IORB created: 75439
[75864]: 10-16	IORB created: 75459
[76059]: 16-0	IORB created: 75864
[76209]: 0-5	IORB created: 70719
[76314]: 5-10	IORB created: 75333
[76464]: 10-16	IORB created: 73434
[76659]: 16-0	IORB created: 75714
[76809]: 0-3	IORB created: 76763
[76884]: 3-5	IORB created: 76464
[76974]: 5-0	IORB created: 76884
[77034]: 0-2	IORB created: 76991
[77094]: 2-3	IORB created: 76394
[77154]: 3-5	IORB created: 76209
[77244]: 5-20	IORB created: 77136
[77544]: 20-0	IORB created: 77154
[77724]: 0-5	IORB created: 70397
[77829]: 5-8	IORB created: 77549
[77949]: 8-10	IORB created: 77873
[78069]: 10-16	IORB created: 77544
[78264]: 16-18	IORB created: 77829
[78444]: 18-0	IORB created: 77094
[78609]: 0-5	IORB created: 77962
[78714]: 5-10	IORB created: 78069
[78864]: 10-16	IORB created: 78444
[79059]: 16-20	IORB created: 78806
[79269]: 20-5	IORB created: 78864
[79374]: 5-8	IORB created: 78714
[79494]: 8-10	IORB created: 79452
[79614]: 10-16	IORB created: 79269
[79809]: 16-18	IORB created: 79494
[79989]: 18-19	IORB created: 79317
[80169]: 19-20	IORB created: 80000
[80364]: 20-21	IORB created: 79614
[80559]: 21-2	IORB created: 79406
[80709]: 2-5	IORB created: 79989
[80799]: 5-9	IORB created: 80169
[80934]: 9-17	IORB created: 79852
[81159]: 17-20	IORB created: 79491
[81369]: 20-0	IORB created: 80709
[81549]: 0-4	IORB created: 79679
[81639]: 4-5	IORB created: 77949
[81714]: 5-7	IORB created: 81112
[81819]: 7-8	IORB created: 81361
[81924]: 8-9	IORB created: 81369
[82029]: 9-16	IORB created: 81159
[82239]: 16-21	IORB created: 81924
[82464]: 21-2	IORB created: 82074
[82614]: 2-5	IORB created: 82029
[82704]: 5-10	IORB created: 82614
[82854]: 10-16	IORB created: 82464
[83049]: 16-17	IORB created: 82857
[83214]: 17-2	IORB created: 81659
[83334]: 2-5	IORB created: 81819
[83424]: 5-9	IORB created: 83214
[83559]: 9-16	IORB created: 80934
[83769]: 16-18	IORB created: 83251
[83949]: 18-21	IORB created: 83334
[84159]: 21-4	IORB created: 81639
[84279]: 4-5	IORB created: 82854
[84354]: 5-7	IORB created: 83559
[84459]: 7-9	IORB created: 84193
[84579]: 9-10	IORB created: 84391
[84699]: 10-16	IORB created: 83949
[84894]: 16-17	IORB created: 83856
[85059]: 17-20	IORB created: 84579
[85269]: 20-0	IORB created: 84159
[85449]: 0-5	IORB created: 84699
[85554]: 5-7	IORB created: 83480
[85659]: 7-9	IORB created: 85269
[85779]: 9-16	IORB created: 85059
[85989]: 16-5	IORB created: 85674
[86064]: 5-16	IORB created: 85779
[86304]: 16-20	IORB created: 86133
[86514]: 20-21	IORB created: 86447
[86709]: 21-0	IORB created: 86064
[86889]: 0-5	IORB created: 85659
[86994]: 5-16	IORB created: 86709
[87234]: 16-5	IORB created: 84459
[87309]: 5-16	IORB created: 86514
[87549]: 16-19	IORB created: 87424
[87744]: 19-2	IORB created: 87682
[87879]: 2-5	IORB created: 84279
[87969]: 5-6	IORB created: 87715
[88059]: 6-10	IORB created: 87537
[88194]: 10-16	IORB created: 87744
[88389]: 16-19	IORB created: 87611
[88584]: 19-20	IORB created: 88194
[88779]: 20-0	IORB created: 87969
[88959]: 0-5	IORB created: 88779
[89064]: 5-16	IORB created: 88584
[89304]: 16-19	IORB created: 88815
[89499]: 19-0	IORB created: 89042
[89664]: 0-5	IORB created: 88059
[89769]: 5-10	IORB created: 89070
[89919]: 10-16	IORB created: 89499
[90114]: 16-19	IORB created: 89664
[90309]: 19-0	IORB created: 87879
[90474]: 0-2	IORB created: 87644
[90534]: 2-4	IORB created: 89919
[90609]: 4-5	IORB created: 68259
[90684]: 5-6	IORB created: 89910
[90774]: 6-7	IORB created: 90000
[90864]: 7-9	IORB created: 89779
[90984]: 9-16	IORB created: 90123
[91194]: 16-19	IORB created: 89308
[91389]: 19-0	IORB created: 90534
[91554]: 0-2	IORB created: 91194
[91614]: 2-5	IORB created: 90984
[91704]: 5-6	IORB created: 91014
[91794]: 6-16	IORB created: 91614
[92019]: 16-20	IORB created: 91432
[92229]: 20-0	IORB created: 90309
[92409]: 0-5	IORB created: 91794
[92514]: 5-6	IORB created: 91995
[92604]: 6-16	IORB created: 92229
[92829]: 16-19	IORB created: 92717
[93024]: 19-1	IORB created: 90837
[93174]: 1-2	IORB created: 93080
[93234]: 2-4	IORB created: 92912
[93309]: 4-5	IORB created: 92604
[93384]: 5-6	IORB created: 90774
[93474]: 6-10	IORB created: 92938
[93609]: 10-16	IORB created: 93085
[93804]: 16-19	IORB created: 93234
[93999]: 19-0	IORB created: 93622
[94164]: 0-2	IORB created: 91571
[94224]: 2-5	IORB created: 93999
[94314]: 5-6	IORB created: 94164
[94404]: 6-8	IORB created: 93610
[94509]: 8-16	IORB created: 94404
[94719]: 16-19	IORB created: 93804
[94914]: 19-2	IORB created: 94395
[95049]: 2-5	IORB created: 94734
[95139]: 5-7	IORB created: 94875
[95244]: 7-16	IORB created: 94914
[95469]: 16-18	IORB created: 95139
[95649]: 18-19	IORB created: 93174
[95829]: 19-3	IORB created: 95049
[95949]: 3-5	IORB created: 95649
[96039]: 5-9	IORB created: 95244
[96174]: 9-10	IORB created: 96173
[96294]: 10-16	IORB created: 95469
[96489]: 16-0	IORB created: 95829
[96639]: 0-5	IORB created: 96174
[96744]: 5-7	IORB created: 96294
[96849]: 7-16	IORB created: 94314
[97074]: 16-18	IORB created: 96491
[97254]: 18-20	IORB created: 97117
[97449]: 20-3	IORB created: 96727
[97584]: 3-5	IORB created: 96849
[97674]: 5-16	IORB created: 97449
[97914]: 16-0	IORB created: 97584
[98064]: 0-5	IORB created: 95949
[98169]: 5-6	IORB created: 97823
[98259]: 6-16	IORB created: 97254
[98484]: 16-0	IORB created: 98169
[98634]: 0-5	IORB created: 98259
[98739]: 5-16	IORB created: 93024
[98979]: 16-17	IORB created: 98611
[99144]: 17-0	IORB created: 98699
[99294]: 0-1	IORB created: 98147
